Date,Description,Original Description,Amount,Transaction Type,Account Name,store_no,zip_code,address,lat,lon,city,state
2018-03-19,Chipotle,CHIPOTLE 0114,10.59,debit,CREDIT CARD,114,80027,"0114 - Louisville-(00114) - 375 S. McCaslin Blvd., Unit D, Louisville 80027",39.96,-105.14,LOUISVILLE,CO
2018-02-28,Chipotle,CHIPOTLE 0894,10.63,debit,CREDIT CARD,894,80301,"0894 - 29th Street-(00894) - 1650 28th St, Ste 1224, Boulder 80301-1013",40.02,-105.25,BOULDER,CO
2018-02-15,Chipotle,CHIPOTLE 0894,18.26,debit,CREDIT CARD,894,80301,"0894 - 29th Street-(00894) - 1650 28th St, Ste 1224, Boulder 80301-1013",40.02,-105.25,BOULDER,CO
2018-01-25,Chipotle,CHIPOTLE 0894,12.86,debit,CREDIT CARD,894,80301,"0894 - 29th Street-(00894) - 1650 28th St, Ste 1224, Boulder 80301-1013",40.02,-105.25,BOULDER,CO
2018-01-25,Chipotle,CHIPOTLE 0894,5.45,debit,CREDIT CARD,894,80301,"0894 - 29th Street-(00894) - 1650 28th St, Ste 1224, Boulder 80301-1013",40.02,-105.25,BOULDER,CO
2018-01-07,Chipotle,CHIPOTLE 0894,10.79,debit,CREDIT CARD,894,80301,"0894 - 29th Street-(00894) - 1650 28th St, Ste 1224, Boulder 80301-1013",40.02,-105.25,BOULDER,CO
2017-10-23,Chipotle,CHIPOTLE 1702,15.29,debit,CREDIT CARD,1702,94103,"1702 - San Francisco Centre-(01702) - 865 Market Street, Space C10, San Francisco 94103",37.77,-122.41,SAN FRANCISCO,CA
2017-04-28,Chipotle,CHIPOTLE 1145,9.99,debit,CREDIT CARD,1145,80247,"1145 - London Square Relo-(01145) - 2300 S Parker Rd, Unit B, Aurora 80247",39.69,-104.88,DENVER,CO
2017-04-17,Chipotle,CHIPOTLE 1702,10.04,debit,CREDIT CARD,1702,94103,"1702 - San Francisco Centre-(01702) - 865 Market Street, Space C10, San Francisco 94103",37.77,-122.41,SAN FRANCISCO,CA
2017-04-03,Chipotle,Check Card: CHIPOTLE 1460 SANFRANCISCO CA  04/02/17Card 15 #1313,12.0,debit,PLUS CHECKING,1460,94103,"1460 - Metreon-(01460) - 121 4th St #135, San Francisco 94103",37.77,-122.41,SAN FRANCISCO,CA
2016-12-25,Chipotle,CHIPOTLE 0894,10.3,debit,CREDIT CARD,894,80301,"0894 - 29th Street-(00894) - 1650 28th St, Ste 1224, Boulder 80301-1013",40.02,-105.25,BOULDER,CO
