store_no,zip_code,address,lat,lon,city,state,short_address
114,80027,"0114 - Louisville-(00114) - 375 S. McCaslin Blvd., Unit D, Louisville 80027",39.96,-105.14,LOUISVILLE,CO," 375 S. McCaslin Blvd., Unit D, Louisville 80027"
894,80301,"0894 - 29th Street-(00894) - 1650 28th St, Ste 1224, Boulder 80301-1013",40.02,-105.25,BOULDER,CO," 1650 28th St, Ste 1224, Boulder 80301-1013"
1702,94103,"1702 - San Francisco Centre-(01702) - 865 Market Street, Space C10, San Francisco 94103",37.77,-122.41,SAN FRANCISCO,CA," 865 Market Street, Space C10, San Francisco 94103"
1145,80247,"1145 - London Square Relo-(01145) - 2300 S Parker Rd, Unit B, Aurora 80247",39.69,-104.88,DENVER,CO," 2300 S Parker Rd, Unit B, Aurora 80247"
1460,94103,"1460 - Metreon-(01460) - 121 4th St #135, San Francisco 94103",37.77,-122.41,SAN FRANCISCO,CA," 121 4th St #135, San Francisco 94103"
839,94105,"0839 - 525 Market Street-(00839) - 525 Market Street, San Francisco 94105",37.78,-122.39,SAN FRANCISCO,CA," 525 Market Street, San Francisco 94105"
2345,89109,"2345 - Miracle Mile Shops-(02345) - 3663 Las Vegas Blvd, Ste A020, Las Vegas 89109",36.11,-115.12,LAS VEGAS,NV," 3663 Las Vegas Blvd, Ste A020, Las Vegas 89109"
2341,2116,"2341 - 553 Boylston Street-(02341) - 553 Boylston Street, Boston 02116",42.35,-71.06,BOSTON,MA," 553 Boylston Street, Boston 02116"
437,97204,"0437 - Director Building-(00437) - 240 SW Yamhill Street, Portland 97204",45.51,-122.67,PORTLAND,OR," 240 SW Yamhill Street, Portland 97204"
1187,94014,"1187 - Colma-(01187) - 990 Serramonte Blvd, Suite D, Colma 94014",37.68,-122.43,DALY CITY,CA," 990 Serramonte Blvd, Suite D, Colma 94014"
2080,94132,"2080 - Stonestown Galleria-(02080) - 3251 20th Ave, Spc OP183, San Francisco 94132",37.72,-122.48,SAN FRANCISCO,CA," 3251 20th Ave, Spc OP183, San Francisco 94132"
1265,94306,"1265 - Palo Alto-(01265) - 2675 El Camino Real, Palo Alto 94306",37.41,-122.13,PALO ALTO,CA," 2675 El Camino Real, Palo Alto 94306"
1637,94132,"1637 - Lakeshore Plaza-(01637) - 1523 Sloat Blvd, San Francisco 94132",37.72,-122.48,SAN FRANCISCO,CA," 1523 Sloat Blvd, San Francisco 94132"
54,80203,"0054 - 6th & Broadway-(00054) - 550 Broadway, Unit A, Denver 80203",39.76,-104.87,DENVER,CO," 550 Broadway, Unit A, Denver 80203"
1031,34883,"1031 - Newark-(01031) - 34883 Newark Blvd, Newark 94560",,,,," 34883 Newark Blvd, Newark 94560"
1738,94610,"1738 - Oakland Lakeshore-(01738) - 3271 Lakeshore Avenue, Oakland 94610",37.81,-122.24,OAKLAND,CA," 3271 Lakeshore Avenue, Oakland 94610"
1617,94304,"1617 - Stanford Center-(01617) - 180 El Camino Real, Ste 15A, Palo Alto 94304",37.37,-122.18,PALO ALTO,CA," 180 El Camino Real, Ste 15A, Palo Alto 94304"
1102,94015,"1102 - Daly City-(01102) - 213 Westlake Center, Daly City 94015",37.67,-122.47,DALY CITY,CA," 213 Westlake Center, Daly City 94015"
1174,94070,"1174 - San Carlos-(01174) - 1135 Industrial Road, Suite C, San Carlos 94070",37.49,-122.26,SAN CARLOS,CA," 1135 Industrial Road, Suite C, San Carlos 94070"
